iter	Passed	Remaining
0	142	142344
1	142	71318
2	143	47658
3	143	35825
4	144	28708
5	144	23977
6	145	20597
7	145	18063
8	146	16091
9	146	14514
10	147	13222
11	147	12145
12	147	11235
13	148	10454
14	148	9777
15	149	9185
16	149	8663
17	150	8198
18	150	7783
19	151	7409
20	151	7073
21	152	6767
22	152	6487
23	153	6231
24	153	5995
25	154	5776
26	154	5574
27	155	5388
28	155	5213
29	156	5050
30	156	4897
31	157	4753
32	157	4619
33	158	4492
34	158	4372
35	159	4260
36	159	4152
37	159	4048
38	160	3952
39	160	3861
40	161	3774
41	161	3691
42	162	3612
43	162	3537
44	163	3465
45	163	3396
46	164	3331
47	164	3267
48	165	3207
49	165	3148
50	166	3092
51	166	3038
52	167	2986
53	167	2936
54	168	2888
55	168	2840
56	169	2796
57	169	2752
58	170	2711
59	170	2671
60	170	2631
61	171	2594
62	171	2557
63	172	2521
64	172	2486
65	173	2453
66	173	2420
67	174	2389
68	174	2358
69	175	2328
70	175	2299
71	176	2271
72	176	2244
73	177	2217
74	177	2191
75	178	2166
76	178	2141
77	179	2117
78	179	2094
79	180	2071
80	180	2048
81	181	2026
82	181	2005
83	181	1984
84	182	1965
85	183	1946
86	183	1927
87	183	1906
88	184	1887
89	184	1869
90	185	1851
91	185	1834
92	186	1817
93	186	1800
94	187	1784
95	187	1768
96	188	1752
97	188	1737
98	189	1722
99	189	1708
100	190	1693
101	190	1679
102	191	1664
103	191	1651
104	192	1637
105	192	1623
106	192	1610
107	193	1597
108	193	1582
109	194	1570
110	194	1558
111	195	1546
112	195	1535
113	196	1523
114	196	1512
115	197	1501
116	197	1490
117	198	1479
118	198	1469
119	198	1459
120	199	1448
121	199	1438
122	200	1428
123	200	1419
124	201	1409
125	201	1400
126	202	1391
127	202	1381
128	203	1372
129	203	1363
130	204	1354
131	204	1345
132	205	1337
133	205	1328
134	206	1320
135	206	1312
136	207	1304
137	207	1296
138	208	1288
139	208	1281
140	209	1274
141	209	1266
142	210	1259
143	210	1252
144	211	1245
145	211	1238
146	212	1231
147	212	1224
148	213	1218
149	213	1211
150	214	1204
151	214	1198
152	215	1191
153	215	1185
154	216	1178
155	216	1172
156	217	1166
157	217	1159
158	218	1153
159	218	1147
160	219	1141
161	219	1136
162	220	1130
163	220	1124
164	221	1118
165	221	1113
166	222	1107
167	222	1102
168	223	1096
169	223	1091
170	224	1086
171	224	1081
172	225	1076
173	225	1071
174	226	1066
175	226	1061
176	227	1056
177	227	1051
178	228	1046
179	228	1041
180	229	1036
181	229	1032
182	230	1027
183	230	1022
184	231	1018
185	231	1013
186	232	1009
187	232	1005
188	233	1000
189	233	996
190	234	991
191	234	987
192	235	983
193	235	979
194	236	974
195	236	970
196	237	966
197	237	962
